"X","PurchaseOrder","PurchaseOrderCreationDate","VendorKey","PlantKey","MaterialKey","MaterialPlantKey","PurchaseOrderQuantity","PlannedGoodsReceiptDate","ActualGoodsReceiptDate","PlannedArrivalDateYard","ActualArrivalDateYard","PlannedVendorShipmentDate","ActualVendorShipmentDate","GoodsDateDifference"
4,4500000004,"2024-03-09",1001,4,1,10004,84,2024-04-01,2024-03-28,"2024-03-30","2024-03-30","2024-03-29","2024-03-29",-4
7,4500000007,"2021-12-17",1001,4,1,10004,79,2022-01-09,2022-01-09,"2022-01-07","2022-01-07","2022-01-06","2022-01-06",0
11,4500000011,"2022-01-23",1001,4,1,10004,81,2022-02-15,2022-02-10,"2022-02-13","2022-02-13","2022-02-12","2022-02-12",-5
14,4500000014,"2023-05-10",1001,4,1,10004,69,2023-06-02,2023-06-02,"2023-05-31","2023-05-31","2023-05-30","2023-05-30",0
15,4500000015,"2023-03-31",1001,4,1,10004,74,2023-04-23,2023-04-23,"2023-04-21","2023-04-21","2023-04-20","2023-04-20",0
18,4500000018,"2023-06-22",1001,4,1,10004,78,2023-07-15,2023-07-14,"2023-07-13","2023-07-13","2023-07-12","2023-07-12",-1
20,4500000020,"2022-01-11",1001,4,1,10004,91,2022-02-03,2022-02-01,"2022-02-01","2022-02-01","2022-01-31","2022-01-31",-2
21,4500000021,"2024-03-15",1001,4,1,10004,71,2024-04-07,2024-04-04,"2024-04-05","2024-04-05","2024-04-04","2024-04-04",-3
23,4500000023,"2024-09-05",1001,4,1,10004,78,2024-09-28,2024-09-28,"2024-09-26","2024-09-26","2024-09-25","2024-09-25",0
24,4500000024,"2022-02-12",1001,4,1,10004,70,2022-03-07,2022-03-04,"2022-03-05","2022-03-05","2022-03-04","2022-03-04",-3
25,4500000025,"2023-06-14",1001,4,1,10004,63,2023-07-07,2023-07-06,"2023-07-05","2023-07-05","2023-07-04","2023-07-04",-1
27,4500000027,"2023-02-09",1001,4,1,10004,82,2023-03-04,2023-03-13,"2023-03-02","2023-03-11","2023-03-01","2023-03-10",9
28,4500000028,"2022-08-07",1001,4,1,10004,79,2022-08-30,2022-08-26,"2022-08-28","2022-08-28","2022-08-27","2022-08-27",-4
30,4500000030,"2022-10-09",1001,4,1,10004,71,2022-11-01,2022-11-01,"2022-10-30","2022-10-30","2022-10-29","2022-10-29",0
31,4500000031,"2024-02-22",1001,4,1,10004,84,2024-03-16,2024-03-16,"2024-03-14","2024-03-14","2024-03-13","2024-03-13",0
32,4500000032,"2023-07-09",1001,4,1,10004,70,2023-08-01,2023-07-27,"2023-07-30","2023-07-30","2023-07-29","2023-07-29",-5
38,4500000038,"2023-08-23",1001,4,1,10004,84,2023-09-15,2023-09-15,"2023-09-13","2023-09-13","2023-09-12","2023-09-12",0
42,4500000042,"2022-12-26",1001,4,1,10004,85,2023-01-18,2023-01-23,"2023-01-16","2023-01-16","2023-01-15","2023-01-15",5
45,4500000045,"2022-10-28",1001,4,1,10004,77,2022-11-20,2022-11-16,"2022-11-18","2022-11-18","2022-11-17","2022-11-17",-4
48,4500000048,"2022-09-07",1001,4,1,10004,72,2022-09-30,2022-09-28,"2022-09-28","2022-09-28","2022-09-27","2022-09-27",-2
55,4500000055,"2024-09-07",1001,4,1,10004,76,2024-09-30,2024-09-30,"2024-09-28","2024-09-28","2024-09-27","2024-09-27",0
57,4500000057,"2024-04-14",1001,4,1,10004,72,2024-05-07,2024-05-06,"2024-05-05","2024-05-05","2024-05-04","2024-05-04",-1
58,4500000058,"2024-03-21",1001,4,1,10004,83,2024-04-13,2024-04-10,"2024-04-11","2024-04-11","2024-04-10","2024-04-10",-3
59,4500000059,"2022-10-08",1001,4,1,10004,85,2022-10-31,2022-10-28,"2022-10-29","2022-10-29","2022-10-28","2022-10-28",-3
63,4500000063,"2023-07-05",1001,4,1,10004,73,2023-07-28,2023-07-26,"2023-07-26","2023-07-26","2023-07-25","2023-07-25",-2
75,4500000075,"2022-11-23",1001,4,1,10004,72,2022-12-16,2022-12-13,"2022-12-14","2022-12-14","2022-12-13","2022-12-13",-3
77,4500000077,"2022-06-17",1001,4,1,10004,75,2022-07-10,2022-07-08,"2022-07-08","2022-07-08","2022-07-07","2022-07-07",-2
80,4500000080,"2022-02-10",1001,4,1,10004,68,2022-03-05,2022-03-03,"2022-03-03","2022-03-03","2022-03-02","2022-03-02",-2
81,4500000081,"2023-03-30",1001,4,1,10004,68,2023-04-22,2023-04-21,"2023-04-20","2023-04-20","2023-04-19","2023-04-19",-1
83,4500000083,"2024-02-28",1001,4,1,10004,85,2024-03-22,2024-03-21,"2024-03-20","2024-03-20","2024-03-19","2024-03-19",-1
84,4500000084,"2022-03-30",1001,4,1,10004,81,2022-04-22,2022-04-20,"2022-04-20","2022-04-20","2022-04-19","2022-04-19",-2
85,4500000085,"2022-08-13",1001,4,1,10004,75,2022-09-05,2022-09-02,"2022-09-03","2022-09-03","2022-09-02","2022-09-02",-3
90,4500000090,"2022-07-13",1001,4,1,10004,85,2022-08-05,2022-08-05,"2022-08-03","2022-08-03","2022-08-02","2022-08-02",0
95,4500000095,"2023-12-13",1001,4,1,10004,61,2024-01-05,2024-01-02,"2024-01-03","2024-01-03","2024-01-02","2024-01-02",-3
96,4500000096,"2024-03-07",1001,4,1,10004,82,2024-03-30,2024-03-28,"2024-03-28","2024-03-28","2024-03-27","2024-03-27",-2
99,4500000099,"2023-07-29",1001,4,1,10004,85,2023-08-21,2023-08-16,"2023-08-19","2023-08-19","2023-08-18","2023-08-18",-5
106,4500000106,"2022-12-12",1001,4,1,10004,76,2023-01-04,2022-12-30,"2023-01-02","2023-01-02","2023-01-01","2023-01-01",-5
107,4500000107,"2021-12-23",1001,4,1,10004,78,2022-01-15,2022-01-12,"2022-01-13","2022-01-13","2022-01-12","2022-01-12",-3
118,4500000118,"2023-06-27",1001,4,1,10004,83,2023-07-20,2023-07-20,"2023-07-18","2023-07-18","2023-07-17","2023-07-17",0
119,4500000119,"2022-02-03",1001,4,1,10004,73,2022-02-26,2022-02-28,"2022-02-24","2022-02-26","2022-02-23","2022-02-25",2
131,4500000131,"2023-08-25",1001,4,1,10004,65,2023-09-17,2023-09-17,"2023-09-15","2023-09-15","2023-09-14","2023-09-14",0
136,4500000136,"2024-08-09",1001,4,1,10004,74,2024-09-01,2024-09-01,"2024-08-30","2024-08-30","2024-08-29","2024-08-29",0
138,4500000138,"2022-03-13",1001,4,1,10004,74,2022-04-05,2022-04-01,"2022-04-03","2022-04-03","2022-04-02","2022-04-02",-4
140,4500000140,"2022-03-02",1001,4,1,10004,79,2022-03-25,2022-03-23,"2022-03-23","2022-03-23","2022-03-22","2022-03-22",-2
146,4500000146,"2022-07-10",1001,4,1,10004,76,2022-08-02,2022-08-01,"2022-07-31","2022-07-31","2022-07-30","2022-07-30",-1
150,4500000150,"2024-09-18",1001,4,1,10004,72,2024-10-11,2024-10-08,"2024-10-09","2024-10-09","2024-10-08","2024-10-08",-3
151,4500000151,"2024-03-05",1001,4,1,10004,88,2024-03-28,2024-04-04,"2024-03-26","2024-04-02","2024-03-25","2024-04-01",7
156,4500000156,"2022-05-22",1001,4,1,10004,86,2022-06-14,2022-06-10,"2022-06-12","2022-06-12","2022-06-11","2022-06-11",-4
158,4500000158,"2022-11-21",1001,4,1,10004,84,2022-12-14,2022-12-12,"2022-12-12","2022-12-12","2022-12-11","2022-12-11",-2
164,4500000164,"2022-06-23",1001,4,1,10004,82,2022-07-16,2022-07-16,"2022-07-14","2022-07-14","2022-07-13","2022-07-13",0
165,4500000165,"2022-03-05",1001,4,1,10004,75,2022-03-28,2022-04-07,"2022-03-26","2022-04-05","2022-03-25","2022-04-04",10
173,4500000173,"2022-04-23",1001,4,1,10004,73,2022-05-16,2022-05-11,"2022-05-14","2022-05-14","2022-05-13","2022-05-13",-5
175,4500000175,"2024-10-27",1001,4,1,10004,83,2024-11-19,2024-11-15,"2024-11-17","2024-11-17","2024-11-16","2024-11-16",-4
176,4500000176,"2022-02-25",1001,4,1,10004,74,2022-03-20,2022-03-20,"2022-03-18","2022-03-18","2022-03-17","2022-03-17",0
177,4500000177,"2022-02-14",1001,4,1,10004,78,2022-03-09,2022-03-07,"2022-03-07","2022-03-07","2022-03-06","2022-03-06",-2
179,4500000179,"2022-12-31",1001,4,1,10004,78,2023-01-23,2023-01-20,"2023-01-21","2023-01-21","2023-01-20","2023-01-20",-3
181,4500000181,"2024-01-08",1001,4,1,10004,75,2024-01-31,2024-01-30,"2024-01-29","2024-01-29","2024-01-28","2024-01-28",-1
184,4500000184,"2022-11-04",1001,4,1,10004,84,2022-11-27,2022-11-23,"2022-11-25","2022-11-25","2022-11-24","2022-11-24",-4
186,4500000186,"2024-04-22",1001,4,1,10004,69,2024-05-15,2024-05-24,"2024-05-13","2024-05-22","2024-05-12","2024-05-21",9
187,4500000187,"2023-09-24",1001,4,1,10004,87,2023-10-17,2023-10-20,"2023-10-15","2023-10-18","2023-10-14","2023-10-17",3
191,4500000191,"2022-02-25",1001,4,1,10004,92,2022-03-20,2022-03-18,"2022-03-18","2022-03-18","2022-03-17","2022-03-17",-2
195,4500000195,"2024-11-19",1001,4,1,10004,66,2024-12-12,2024-12-11,"2024-12-10","2024-12-10","2024-12-09","2024-12-09",-1
197,4500000197,"2024-01-25",1001,4,1,10004,72,2024-02-17,2024-02-17,"2024-02-15","2024-02-15","2024-02-14","2024-02-14",0
205,4500000205,"2024-05-28",1001,4,1,10004,78,2024-06-20,2024-06-19,"2024-06-18","2024-06-18","2024-06-17","2024-06-17",-1
208,4500000208,"2023-03-31",1001,4,1,10004,81,2023-04-23,2023-04-23,"2023-04-21","2023-04-21","2023-04-20","2023-04-20",0
211,4500000211,"2023-12-13",1001,4,1,10004,66,2024-01-05,2024-01-18,"2024-01-03","2024-01-16","2024-01-02","2024-01-15",13
212,4500000212,"2023-12-15",1001,4,1,10004,76,2024-01-07,2024-01-04,"2024-01-05","2024-01-05","2024-01-04","2024-01-04",-3
215,4500000215,"2024-08-10",1001,4,1,10004,72,2024-09-02,2024-08-29,"2024-08-31","2024-08-31","2024-08-30","2024-08-30",-4
217,4500000217,"2023-09-21",1001,4,1,10004,86,2023-10-14,2023-10-13,"2023-10-12","2023-10-12","2023-10-11","2023-10-11",-1
226,4500000226,"2022-09-08",1001,4,1,10004,83,2022-10-01,2022-09-29,"2022-09-29","2022-09-29","2022-09-28","2022-09-28",-2
227,4500000227,"2024-10-11",1001,4,1,10004,81,2024-11-03,2024-11-06,"2024-11-01","2024-11-04","2024-10-31","2024-11-03",3
228,4500000228,"2022-12-07",1001,4,1,10004,81,2022-12-30,2022-12-28,"2022-12-28","2022-12-28","2022-12-27","2022-12-27",-2
229,4500000229,"2022-02-19",1001,4,1,10004,77,2022-03-14,2022-03-14,"2022-03-12","2022-03-12","2022-03-11","2022-03-11",0
234,4500000234,"2024-08-13",1001,4,1,10004,75,2024-09-05,2024-09-02,"2024-09-03","2024-09-03","2024-09-02","2024-09-02",-3
235,4500000235,"2024-05-11",1001,4,1,10004,74,2024-06-03,2024-06-03,"2024-06-01","2024-06-01","2024-05-31","2024-05-31",0
238,4500000238,"2023-04-23",1001,4,1,10004,83,2023-05-16,2023-05-12,"2023-05-14","2023-05-14","2023-05-13","2023-05-13",-4
240,4500000240,"2023-09-20",1001,4,1,10004,77,2023-10-13,2023-10-10,"2023-10-11","2023-10-11","2023-10-10","2023-10-10",-3
241,4500000241,"2023-06-15",1001,4,1,10004,85,2023-07-08,2023-07-06,"2023-07-06","2023-07-06","2023-07-05","2023-07-05",-2
242,4500000242,"2022-06-01",1001,4,1,10004,75,2022-06-24,2022-06-24,"2022-06-22","2022-06-22","2022-06-21","2022-06-21",0
246,4500000246,"2023-05-01",1001,4,1,10004,73,2023-05-24,2023-05-19,"2023-05-22","2023-05-22","2023-05-21","2023-05-21",-5
247,4500000247,"2023-06-15",1001,4,1,10004,76,2023-07-08,2023-07-05,"2023-07-06","2023-07-06","2023-07-05","2023-07-05",-3
249,4500000249,"2022-02-28",1001,4,1,10004,62,2022-03-23,2022-04-04,"2022-03-21","2022-04-02","2022-03-20","2022-04-01",12
255,4500000255,"2024-06-28",1001,4,1,10004,77,2024-07-21,2024-07-18,"2024-07-19","2024-07-19","2024-07-18","2024-07-18",-3
257,4500000257,"2022-05-18",1001,4,1,10004,69,2022-06-10,2022-06-15,"2022-06-08","2022-06-08","2022-06-07","2022-06-07",5
259,4500000259,"2021-12-23",1001,4,1,10004,84,2022-01-15,2022-01-15,"2022-01-13","2022-01-13","2022-01-12","2022-01-12",0
262,4500000262,"2024-05-01",1001,4,1,10004,84,2024-05-24,2024-05-22,"2024-05-22","2024-05-22","2024-05-21","2024-05-21",-2
264,4500000264,"2024-08-17",1001,4,1,10004,78,2024-09-09,2024-09-04,"2024-09-07","2024-09-07","2024-09-06","2024-09-06",-5
265,4500000265,"2024-01-13",1001,4,1,10004,88,2024-02-05,2024-02-05,"2024-02-03","2024-02-03","2024-02-02","2024-02-02",0
266,4500000266,"2024-02-15",1001,4,1,10004,78,2024-03-09,2024-03-07,"2024-03-07","2024-03-07","2024-03-06","2024-03-06",-2
270,4500000270,"2023-05-01",1001,4,1,10004,70,2023-05-24,2023-05-25,"2023-05-22","2023-05-22","2023-05-21","2023-05-21",1
272,4500000272,"2023-03-21",1001,4,1,10004,77,2023-04-13,2023-04-12,"2023-04-11","2023-04-11","2023-04-10","2023-04-10",-1
275,4500000275,"2023-05-08",1001,4,1,10004,81,2023-05-31,2023-05-29,"2023-05-29","2023-05-29","2023-05-28","2023-05-28",-2
276,4500000276,"2024-02-03",1001,4,1,10004,83,2024-02-26,2024-02-23,"2024-02-24","2024-02-24","2024-02-23","2024-02-23",-3
278,4500000278,"2023-09-11",1001,4,1,10004,82,2023-10-04,2023-10-06,"2023-10-02","2023-10-04","2023-10-01","2023-10-03",2
280,4500000280,"2022-02-25",1001,4,1,10004,79,2022-03-20,2022-03-24,"2022-03-18","2022-03-22","2022-03-17","2022-03-21",4
285,4500000285,"2024-04-28",1001,4,1,10004,77,2024-05-21,2024-05-20,"2024-05-19","2024-05-19","2024-05-18","2024-05-18",-1
294,4500000294,"2022-09-29",1001,4,1,10004,75,2022-10-22,2022-10-21,"2022-10-20","2022-10-20","2022-10-19","2022-10-19",-1
296,4500000296,"2023-06-29",1001,4,1,10004,81,2023-07-22,2023-07-25,"2023-07-20","2023-07-23","2023-07-19","2023-07-22",3
298,4500000298,"2024-02-08",1001,4,1,10004,76,2024-03-02,2024-03-07,"2024-02-29","2024-03-05","2024-02-28","2024-03-04",5
300,4500000300,"2023-08-19",1001,4,1,10004,73,2023-09-11,2023-09-06,"2023-09-09","2023-09-09","2023-09-08","2023-09-08",-5
301,4500000301,"2024-05-27",1001,4,1,10004,72,2024-06-19,2024-06-17,"2024-06-17","2024-06-17","2024-06-16","2024-06-16",-2
302,4500000302,"2022-11-22",1001,4,1,10004,79,2022-12-15,2022-12-13,"2022-12-13","2022-12-13","2022-12-12","2022-12-12",-2
307,4500000307,"2024-05-09",1001,4,1,10004,78,2024-06-01,2024-05-31,"2024-05-30","2024-05-30","2024-05-29","2024-05-29",-1
311,4500000311,"2022-06-15",1001,4,1,10004,78,2022-07-08,2022-07-08,"2022-07-06","2022-07-06","2022-07-05","2022-07-05",0
319,4500000319,"2024-04-06",1001,4,1,10004,76,2024-04-29,2024-04-25,"2024-04-27","2024-04-27","2024-04-26","2024-04-26",-4
322,4500000322,"2023-05-05",1001,4,1,10004,70,2023-05-28,2023-05-25,"2023-05-26","2023-05-26","2023-05-25","2023-05-25",-3
329,4500000329,"2024-05-24",1001,4,1,10004,84,2024-06-16,2024-06-13,"2024-06-14","2024-06-14","2024-06-13","2024-06-13",-3
